Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
310,flat,sare crescent parc royal greens phase 1,sector 110,1.0,3713.0,4,4,3,15.0,New Property,1828.0,0,0,0,0,0,0,31
311,flat,sare crescent parc royal greens phase 1,sector 92,0.65,4511.0,3,3,3,1.0,Moderately Old,1304.0,0,0,0,0,0,0,91
312,flat,m3m merlin,sector 67,4.5,14268.0,4,4,3+,15.0,Relatively New,2854.0,0,1,0,0,0,2,158
313,house,sector 14 rwa,sector 14,5.51,16990.0,3,3,2,4.0,Moderately Old,3249.0,0,0,0,0,0,0,14
314,flat,ramsons kshitij,sector 95,0.17,544.0,1,1,1,12.0,Relatively New,3569.0,0,0,0,0,0,0,56
315,flat,breez global heights,sohna road,0.28,7143.0,1,1,1,4.0,New Property,443.0,0,0,0,0,0,1,26
316,flat,vatika emilia floors,sector 83,0.65,6190.0,2,2,2,1.0,Relatively New,950.0,0,0,0,0,0,2,174
317,flat,the penthouses at the hibiscus,sector 50,8.0,8888.0,4,3,3,7.0,Moderately Old,10000.0,0,1,0,0,0,0,35
318,house,independent,sector 7,0.69,9103.0,1,1,1,2.0,Old Property,758.0,0,0,0,0,0,0,0
319,flat,eldeco accolade,sohna road,1.1,7550.0,3,2,3,13.0,Relatively New,1319.0,0,0,0,0,0,0,56
320,flat,parsvnath green ville,sector 48,1.6,8377.0,3,3,3+,8.0,Old Property,1895.0,0,0,0,0,1,2,49
321,house,international city by sobha phase 2,sector 109,6.25,10035.0,5,7,3+,3.0,Relatively New,6228.0,1,1,1,1,0,0,147
323,flat,m3m soulitude,sector 89,1.25,8784.0,3,3,3,3.0,New Property,1288.0,1,0,0,0,1,0,61
324,flat,vatika boulevard residences and heights,sector 83,1.42,8000.0,3,3,2,2.0,Relatively New,1972.0,0,0,0,0,0,2,113
325,flat,suncity vatsal valley,gwal pahari,1.38,12212.0,2,2,2,4.0,Under Construction,1130.0,0,0,0,0,0,0,133
326,flat,godrej nature plus,sector 33,1.1,7971.0,2,2,2,14.0,Under Construction,1533.0,0,0,0,0,0,0,56
327,flat,unitech the palms,sector 41,2.75,16768.0,3,3,2,14.0,Old Property,1640.0,0,0,0,0,0,1,79
328,flat,smart world orchard,sector 61,1.47,12783.0,2,2,2,4.0,Under Construction,1278.0,1,0,0,0,0,0,31
329,flat,shapoorji pallonji joyville gurugram,sector 102,2.12,16960.0,3,3,3,9.0,Relatively New,1852.0,0,0,0,0,0,0,72
330,flat,raheja revanta,sector 78,0.99,6100.0,2,2,3,14.0,Under Construction,1467.0,0,0,0,0,1,0,39
332,flat,the close north,sector 50,2.35,11768.0,3,3,3+,8.0,Moderately Old,1950.0,0,0,0,0,0,2,165
333,flat,chd avenue,sector 71,1.1,6790.0,3,3,3,11.0,Relatively New,1466.0,0,0,0,0,1,0,72
334,flat,tulip violet,sector 69,1.2,8889.0,2,3,1,0.0,Relatively New,1222.0,0,0,0,0,0,0,150
335,flat,pivotal devaan,sector 84,0.37,6346.0,2,2,1,5.0,Relatively New,532.0,0,0,0,0,0,0,73
336,flat,shree vardhman mantra,sector 67,0.56,7000.0,2,2,1,8.0,New Property,889.0,0,0,0,0,0,0,65
337,flat,dhoot time residency,sector 63,3.0,18270.0,3,3,3+,14.0,Relatively New,1642.0,0,1,0,0,0,2,0
338,flat,ild greens,sector 37c,0.9,5614.0,3,3,3,0.0,Under Construction,1500.0,0,0,0,0,0,0,66
339,flat,signature andour heights,sector 71,0.37,8222.0,1,1,2,2.0,Relatively New,450.0,0,0,0,0,0,0,65
340,house,independent,sector 11,1.35,3857.0,10,6,3+,3.0,Old Property,3500.0,0,0,0,0,0,0,0
341,flat,emaar gurgaon greens,sector 102,1.35,8182.0,3,3,3,5.0,Relatively New,1315.0,0,1,0,0,0,0,119
342,flat,ambience creacions,sector 22,2.4,17391.0,2,2,2,8.0,Relatively New,1200.0,0,0,0,0,1,1,112
343,flat,the roselia 2,sector 95,0.45,6475.0,2,2,2,19.0,New Property,695.0,0,0,0,0,0,0,0
344,flat,m3m heights,sector 65,2.44,13297.0,3,3,2,7.0,Under Construction,1654.0,0,0,0,0,0,0,31
345,flat,smart world orchard,sector 61,2.45,15796.0,3,3,3,3.0,New Property,1223.0,1,1,0,0,0,0,119
346,house,independent,sector 2,6.0,24691.0,5,6,3+,3.0,Old Property,2430.0,1,0,0,1,1,2,43
347,house,independent,sector 7,0.66,12000.0,3,1,1,3.0,Relatively New,550.0,0,0,0,0,1,0,22
348,flat,aipl club residences,sector 70a,1.27,9777.0,2,2,3+,24.0,Relatively New,1449.0,0,0,0,0,1,2,113
349,flat,m3m sierra 68,sector 68,1.2,9002.0,2,2,3,1.0,Relatively New,982.0,0,0,0,0,0,1,76
350,flat,m3m woodshire,sector 107,1.01,7394.0,2,2,3+,11.0,New Property,1200.0,0,0,0,0,1,0,74
351,house,independent,shivpuri,2.43,14890.0,4,4,2,3.0,Old Property,345.0,1,0,1,1,0,0,38
352,house,ansal sushant lok 2,sector 56,3.4,22222.0,6,6,3+,2.0,Moderately Old,1530.0,0,0,0,0,0,2,29
353,flat,dlf the grove,sector 54,5.7,41245.0,3,3,3,1.0,Moderately Old,1382.0,0,0,0,0,0,0,46
354,flat,breez global hill view,sohna road,2.6,5215.0,2,2,2,6.0,New Property,4986.0,0,0,0,0,0,0,42
355,flat,imperia the esfera,sector 37c,0.98,5399.0,3,4,3,9.0,Relatively New,1660.0,0,1,0,0,1,0,49
356,flat,central park flower valley,sector 33,2.15,13522.0,3,3,3+,1.0,New Property,1439.0,0,0,0,0,0,0,31
357,flat,tata primanti,sector 72,3.4,15561.0,3,4,3+,9.0,Moderately Old,2185.0,0,1,0,0,0,0,38
358,house,independent,sector 70a,2.1,3889.0,3,2,1,3.0,New Property,667.0,0,0,0,0,0,0,0
359,flat,dlf new town heights,sector 90,1.54,6514.0,4,4,3+,12.0,Moderately Old,2200.0,0,1,0,1,0,2,111
360,flat,hsiidc sidco aravali,sector 1 imt manesar,0.9,3478.0,3,3,3+,8.0,Moderately Old,1900.0,0,1,0,0,0,0,23
361,flat,paras dews,sector 106,1.05,8537.0,3,4,3+,10.0,Relatively New,1345.0,0,1,0,0,0,0,174
362,flat,hcbs sports ville,sohna road,0.29,5588.0,2,2,1,4.0,Relatively New,577.0,0,0,0,0,0,0,44
363,flat,smriti apartment,sector 56,0.52,10656.0,1,1,1,1.0,Old Property,475.0,0,0,0,0,0,0,34
364,flat,corona optus,sector 37c,1.25,8929.0,3,3,3,2.0,Relatively New,1563.0,1,0,0,0,0,0,49
365,flat,gls arawali homes,sohna road,0.26,4514.0,2,2,2,5.0,New Property,640.0,0,0,0,0,0,0,78
366,flat,ss the leaf,sector 85,2.2,11179.0,4,5,3+,4.0,Relatively New,2390.0,0,1,0,1,0,0,174
367,house,independent,sector 23,5.1,16569.0,3,2,0,1.0,Old Property,3078.0,0,0,0,0,1,0,27
